"#ID","domain","phylum","class","order","family","genus","species"
"NBDL-HK3S2V7MH9V3RB","Eukaryota","Chordata","Actinopteri","Perciformes","Scorpaenidae","Lythrichthys","Lythrichthys cypho"
"NBDL-HK3PNASDJRSGBA","Eukaryota","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","Etmopterus dislineatus"
"NBDL-HK3SXDTYM2QF7G","Eukaryota","Chordata","Actinopteri","Perciformes","Epinephelidae","Epinephelus","Epinephelus coioides"
"NBDL-HR5S2AVRP4RSKV","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Coris","Coris batuensis"
"NBDL-HK3SJ4C0GP6SND","Eukaryota","Chordata","Actinopteri","Lophiiformes","Himantolophidae","Himantolophus","Himantolophus stewarti"
"NBDL-HK3T1ZYEPN89BH","Eukaryota","Chordata","Actinopteri","Carangiformes","Bothidae","Arnoglossus","Arnoglossus polyspilus"
"NBDL-HR5S2B4VN2GRHM","Eukaryota","Chordata","Actinopteri","Perciformes","Epinephelidae","Epinephelus","Epinephelus polyphekadion"
"NBDL-HK3Q46XBGWDKWA","Eukaryota","Chordata","Elasmobranchii","Myliobatiformes","Plesiobatidae","Plesiobatis","Plesiobatis daviesi"
"NBDL-HK3RX9BPHZ7GAR","Eukaryota","Chordata","Actinopteri","Beryciformes","Holocentridae","Myripristis","Myripristis botche"
"NBDL-HK3SPRREMG59MG","Eukaryota","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Talismania","Talismania longifilis"
"NBDL-HXDQPBYQNNN7XX","Eukaryota","Chordata","Actinopteri","Gobiiformes","Apogonidae","Siphamia","Siphamia roseigaster"
"NBDL-HR5SFP45PM5QS9","Eukaryota","Chordata","Actinopteri","Perciformes","Epinephelidae","Cephalopholis","Cephalopholis microprion"
"NBDL-HK3R7JREQ1575A","Eukaryota","Chordata","Actinopteri","Anguilliformes","Ophichthidae","Scolecenchelys","Scolecenchelys gymnota"
"NBDL-HZ4562A2PMP7CH","Eukaryota","Chordata","Actinopteri","Perciformes","Scorpaenidae","Scorpaenodes","Scorpaenodes guamensis"
"NBDL-HK4A8AEENAGMF0","Eukaryota","Chordata","Actinopteri","Carangiformes","Soleidae","Aseraggodes","Aseraggodes melanospilus"
"NBDL-HXDQPBVVNNZ56Z","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Contusus","Contusus richei"
"NBDL-HRXJ1RJ6G74846","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Naso","Naso hexacanthus"
"NBDL-HZ4562D3NMVFXA","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Chelon","Liza subviridis"
"NBDL-HXDQPC0JM6ZG3A","Eukaryota","Chordata","Actinopteri","Gobiiformes","Apogonidae","Rhabdamia","Rhabdamia spilota"
"NBDL-HR5SFNXCGTS65H","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Abudefduf","Abudefduf bengalensis"
"NBDL-HXDQPBX0MNDBJC","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon ulietensis"
"NBDL-HK4A8AFNQAGZFM","Eukaryota","Chordata","Actinopteri","Ophidiiformes","Carapidae","Encheliophis","Encheliophis gracilis"
"NBDL-HR5S2B39G34B4V","Eukaryota","Chordata","Actinopteri","Blenniiformes","Blenniidae","Ecsenius","Ecsenius stictus"
"NBDL-HHG28F2QPBDAQD","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus trachycarus"
"NBDL-HK3QHXREQQ6B6N","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lutjanidae","Lutjanus","Lutjanus quinquelineatus"
"NBDL-HR5SFP6WHKVZQG","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Chrysiptera","Chrysiptera taupou"
"NBDL-HK3T893GGM9342","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Protomyctophum","Protomyctophum subparallelum"
"NBDL-HK3RZTPEN4ZF7H","Eukaryota","Chordata","Actinopteri","Beloniformes","Exocoetidae","Exocoetus","Exocoetus volitans"
"NBDL-HXDQPBGPMMCS82","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Pseudonezumia","Pseudonezumia pusilla"
"NBDL-HHG28F4XHB99KJ","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lutjanidae","Lutjanus","Lutjanus russellii"
"NBDL-HK3QFJ2KP488SC","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola","Seriola dumerili"
"NBDL-HR5S2B71G2ZSES","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis australis"
"NBDL-HK3QATCCQP2BHN","Eukaryota","Chordata","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus milii"
"NBDL-HXDQPBG3JMDYEY","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Odontomacrurus","Odontomacrurus murrayi"
"NBDL-HK3QV5MZQ4PAGG","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Mullidae","Upeneus","Upeneus sundaicus"
"NBDL-HK3PGJC3QREJTN","Eukaryota","Chordata","Elasmobranchii","Carcharhiniformes","Pentanchidae","Figaro","Figaro boardmani"
"NBDL-HK3QV5MNK4PTB8","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Mullidae","Upeneus","Upeneus guttatus"
"NBDL-HR5SFNX3JTSRE5","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chelmonops","Chelmonops truncatus"
"NBDL-JFE9FMG5MG4Q7E","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus breviceps"
"NBDL-HK3QD0V6KSQ6GB","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Decapterus","Decapterus macrosoma"
"NBDL-HHG28F44QBAWGY","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Coris","Coris pictoides"
"NBDL-HXDQPBTZNNWH4F","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron","Arothron firmamentum"
"NBDL-HR5S2AVYJ4R21K","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Bodianus","Bodianus flavipinnis"
"NBDL-HHG28F0KNBG3WR","Eukaryota","Chordata","Actinopteri","Anguilliformes","Ophichthidae","Ophichthus","Ophichthus sangjuensis"
"NBDL-HXDQPBGJMMCKPJ","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Trachonurus","Trachonurus yiwardaus"
"NBDL-HK3QATDTKP4PHX","Eukaryota","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus coatesi"
"NBDL-HK3Q46XZGWCKCT","Eukaryota","Chordata","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus","Urolophus flavomosaicus"
"NBDL-HR5S2B1BN37F66","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lutjanidae","Caesio","Caesio caerulaurea"
"NBDL-HK4A8AEMHAJB9R","Eukaryota","Chordata","Actinopteri","Perciformes","Anthiadidae","Pseudanthias","Pseudanthias rubrizonatus"
"NBDL-HR5S2B2NG32Q1B","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Macropharyngodon","Macropharyngodon choati"
"NBDL-HK3SMQEJGSNZZK","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Sillaginidae","Sillago","Sillago burrus"
"NBDL-HK4B09G0GDSX33","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus mata"
"NBDL-HK3QY5NZP9JTYJ","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Pseudomonacanthus","Pseudomonacanthus elongatus"
"NBDL-HK3S2V7NK9V1FZ","Eukaryota","Chordata","Actinopteri","Perciformes","Synanceiidae","Richardsonichthys","Richardsonichthys leucogaster"
"NBDL-HHG28F4CQBAGFY","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus diphreutes"
"NBDL-HHG28F29JBC505","Eukaryota","Chordata","Actinopteri","Perciformes","Hoplichthyidae","Hoplichthys","Hoplichthys haswelli"
"NBDL-HK3Q46VRNW4M01","Eukaryota","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja","Notoraja azurea"
"NBDL-HK3RX9BMNZ7K10","Eukaryota","Chordata","Actinopteri","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois grallator"
"NBDL-HK4B09HKPE6JGF","Eukaryota","Chordata","Actinopteri","Clupeiformes","Dorosomatidae","Sardinella","Sardinella gibbosa"
"NBDL-HZ4562DFNMV6BT","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pseudochromidae","Pseudochromis","Pseudochromis tapeinosoma"
"NBDL-HHG28F57NBBBZT","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Oxycheilinus","Oxycheilinus orientalis"
"NBDL-HXDQPBSMMNP5ZY","Eukaryota","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Paracirrhites","Paracirrhites forsteri"
"NBDL-HZ4562D1HMV8SJ","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Aldrichetta","Aldrichetta forsteri"
"NBDL-J1XVBWE8HRAASK","Eukaryota","Chordata","Actinopteri","Labriformes","Pinguipedidae","Parapercis","Parapercis cylindrica"
"NBDL-HHG28F1CKBHAB4","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Protomyctophum","Protomyctophum choriodon"
"NBDL-HK3SJ4C8GP656D","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinidae","Atherinomorus","Atherinomorus lacunosus"
"NBDL-HK3SMQF3JSJPB7","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Priacanthidae","Priacanthus","Priacanthus hamrur"
"NBDL-HK3T5NQQQQ1ZG9","Eukaryota","Chordata","Actinopteri","Carangiformes","Bothidae","Chascanopsetta","Chascanopsetta lugubris"
"NBDL-HK3QY5NGG9KHA6","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Meuschenia","Meuschenia freycineti"
"NBDL-HK3T1ZXBNNC1SG","Eukaryota","Chordata","Actinopteri","Acropomatiformes","Polyprionidae","Polyprion","Polyprion oxygeneios"
"NBDL-J1XVBWJKQVWHFS","Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae","Stomias","Stomias affinis"
"NBDL-HK3T892AMMB72A","Eukaryota","Chordata","Actinopteri","Blenniiformes","Plesiopidae","Assessor","Assessor macneilli"
"NBDL-HK3RC4CRJAES21","Eukaryota","Chordata","Actinopteri","Perciformes","Platycephalidae","Platycephalus","Platycephalus conatus"
"NBDL-HK3QATBKPPFV7P","Eukaryota","Chordata","Elasmobranchii","Myliobatiformes","Rhinopteridae","Rhinoptera","Rhinoptera neglecta"
"NBDL-HR5S2AXXH4JSJG","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus albipectoralis"
"NBDL-HK3Q46XFGWCCAT","Eukaryota","Chordata","Elasmobranchii","Myliobatiformes","Urolophidae","Trygonoptera","Trygonoptera ovalis"
"NBDL-HK3RC4CBMA15D5","Eukaryota","Chordata","Actinopteri","Zeiformes","Oreosomatidae","Pseudocyttus","Pseudocyttus maculatus"
"NBDL-HXDQPBD4MMPBNM","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus argentatus"
"NBDL-HK3QQM2NG1QWM4","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Mullidae","Upeneus","Upeneus torres"
"NBDL-HK3T8930GM8AE2","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus barnardi"
"NBDL-HK3SMQEWMSM9WV","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Priacanthidae","Priacanthus","Priacanthus fitchi"
"NBDL-HK3R5BPQHXWBAA","Eukaryota","Chordata","Actinopteri","Anguilliformes","Congridae","Promyllantor","Promyllantor adenensis"
"NBDL-HR5S2B47N2GJY4","Eukaryota","Chordata","Actinopteri","Beloniformes","Zenarchopteridae","Zenarchopterus","Zenarchopterus dispar"
"NBDL-J1XVBWR8PV44G4","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge colini"
"NBDL-HXDQPBWYGNE6J4","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus chrysostomus"
"NBDL-HZ4562AGJMQ3T9","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus whitei"
"NBDL-HR5S2AVTJ4RWE3","Eukaryota","Chordata","Actinopteri","Gadiformes","Moridae","Pseudophycis","Pseudophycis breviuscula"
"NBDL-HK3QV5P2G4KCRH","Eukaryota","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus","Chirodactylus spectabilis"
"NBDL-HXDQPBA6KQ4Z03","Eukaryota","Chordata","Actinopteri","Carangiformes","Soleidae","Aesopia","Aesopia cornuta"
"NBDL-HK3R0HMCM7V87T","Eukaryota","Chordata","Actinopteri","Anguilliformes","Nemichthyidae","Nemichthys","Nemichthys curvirostris"
"NBDL-HHG28F5BNB4PKA","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Tragulichthys","Tragulichthys jaculiferus"
"NBDL-HK3R5BRFGX5RJS","Eukaryota","Chordata","Actinopteri","Anguilliformes","Nettastomatidae","Saurenchelys","Saurenchelys finitimus"
"NBDL-HK3SJ4DKPNVFNS","Eukaryota","Chordata","Actinopteri","Acropomatiformes","Banjosidae","Banjos","Banjos banjos"
"NBDL-HK3S2V64H9SEAB","Eukaryota","Chordata","Actinopteri","Perciformes","Neosebastidae","Neosebastes","Neosebastes scorpaenoides"
"NBDL-HK3QQM10N1N9WD","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lethrinidae","Gymnocranius","Gymnocranius satoi"
"NBDL-HK3SJ4E7QNX4YC","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Sparidae","Dentex","Dentex spariformis"
"NBDL-HK3QV5PJG4KJ2H","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres vittiger"
"NBDL-HRXJ1RHPK7ZB0K","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Pomacanthidae","Genicanthus","Genicanthus melanospilos"
"NBDL-J1XVBWE0HRDY4K","Eukaryota","Chordata","Actinopteri","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax fuscomaculatus"
"NBDL-HK3S2V8MP8TZQ8","Eukaryota","Chordata","Actinopteri","Perciformes","Synanceiidae","Apistops","Apistops caloundra"
"NBDL-JFE9FMVDQHJ8XZ","Eukaryota","Chordata","Actinopteri","Acropomatiformes","Bathyclupeidae","Neobathyclupea","Neobathyclupea elongata"
"NBDL-HR5S2AX9H4NTX0","Eukaryota","Chordata","Actinopteri","Carangiformes","Soleidae","Zebrias","Zebrias scalaris"
"NBDL-HR5SFP01PMBWVV","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Neopomacentrus","Neopomacentrus azysron"
"NBDL-HK3S9B5YP3P6T3","Eukaryota","Chordata","Actinopteri","Ophidiiformes","Bythitidae","Cataetyx","Cataetyx chthamalorhynchus"
"NBDL-HR5S2AWXH4M7YG","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Canthigaster","Canthigaster callisterna"
"NBDL-HK3PNASSJRRHVT","Eukaryota","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","Etmopterus pusillus"
"NBDL-HXDQPBNXPM1HG4","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Notolabrus","Notolabrus fucicola"
"NBDL-HK3SXDX6K35G0F","Eukaryota","Chordata","Actinopteri","Zeiformes","Zeidae","Zenopsis","Zenopsis nebulosa"
"NBDL-HR5S2B30J35P7F","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Mecaenichthys","Mecaenichthys immaculatus"
"NBDL-HHG28F2AGBC4JH","Eukaryota","Chordata","Actinopteri","Aulopiformes","Bathysauridae","Bathysaurus","Bathysaurus ferox"
"NBDL-HR5SFP0JMM8P3Q","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Pomacentrus","Pomacentrus moluccensis"
"NBDL-HK4A8AENQAJDVM","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Pseudobalistes","Pseudobalistes fuscus"
"NBDL-HK3PNAQTKR2XGX","Eukaryota","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus"
"NBDL-JFE9FMVFKHNNT7","Eukaryota","Chordata","Actinopteri","Carangiformes","Sphyraenidae","Sphyraena","Sphyraena waitii"
"NBDL-HK3RC4CXGAE16D","Eukaryota","Chordata","Actinopteri","Perciformes","Platycephalidae","Platycephalus","Platycephalus fuscus"
"NBDL-HR5S2AYXG4HHND","Eukaryota","Chordata","Actinopteri","Gobiiformes","Apogonidae","Nectamia","Nectamia similis"
"NBDL-HK3SZKWVGDPT04","Eukaryota","Chordata","Actinopteri","Clupeiformes","Dorosomatidae","Sardinella","Sardinella aurita"
"NBDL-HR5S2B2CJ3221Z","Eukaryota","Chordata","Actinopteri","Blenniiformes","Blenniidae","Petroscirtes","Petroscirtes mitratus"
"NBDL-HK3T5NR8JR69AY","Eukaryota","Chordata","Actinopteri","Scombriformes","Gempylidae","Lepidocybium","Lepidocybium flavobrunneum"
"NBDL-HK3S2V8QG8T4WC","Eukaryota","Chordata","Actinopteri","Perciformes","Scorpaenidae","Rhinopias","Rhinopias aphanes"
"NBDL-JFE9FMWNMH6CGR","Eukaryota","Chordata","Actinopteri","Carangiformes","Xiphiidae","Xiphias","Xiphias gladius"
"NBDL-HXDQPBZBNNNDQD","Eukaryota","Chordata","Actinopteri","Gobiiformes","Apogonidae","Ostorhinchus","Ostorhinchus bryx"
"NBDL-HK4AMQY9PCQR93","Eukaryota","Chordata","Actinopteri","Siluriformes","Plotosidae","Euristhmus","Euristhmus sandrae"
"NBDL-HK3RX9CBPZMS8K","Eukaryota","Chordata","Actinopteri","Perciformes","Triglidae","Lepidotrigla","Lepidotrigla larsoni"
"NBDL-HR5S2AXBN4NP6R","Eukaryota","Chordata","Actinopteri","Perciformes","Synanceiidae","Pataecus","Pataecus fronto"
"NBDL-JFE9FMRHMHHSZA","Eukaryota","Chordata","Actinopteri","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius tutuilae"
"NBDL-HXDQPBCCMMMAPM","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Lepidorhynchus","Lepidorhynchus denticulatus"
"NBDL-HHG28F42KBAN2P","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomberomorus","Scomberomorus queenslandicus"
"NBDL-HR5S2B55H2H79C","Eukaryota","Chordata","Actinopteri","Blenniiformes","Clinidae","Heteroclinus","Heteroclinus roseus"
"NBDL-HK48NMHVNSF8CJ","Eukaryota","Chordata","Actinopteri","Carangiformes","Sphyraenidae","Sphyraena","Sphyraena jello"
"NBDL-HZ4562D4QMTM1E","Eukaryota","Chordata","Actinopteri","Beryciformes","Holocentridae","Sargocentron","Sargocentron spiniferum"
"NBDL-HK3RC4D6PA3BNS","Eukaryota","Chordata","Actinopteri","Perciformes","Platycephalidae","Platycephalus","Platycephalus orbitalis"
"NBDL-HRXJ1RGGQ7YJEV","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres","Halichoeres prosopeion"
"NBDL-J1XVBWBTHR4YJ1","Eukaryota","Chordata","Actinopteri","Anguilliformes","Ophichthidae","Leiuranus","Leiuranus semicinctus"
"NBDL-HXDQPBN3JM11RC","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Pseudolabrus","Pseudolabrus rubicundus"
"NBDL-HZ4562CVNMTK8A","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pseudochromidae","Ogilbyina","Ogilbyina queenslandiae"
"NBDL-HK3QHXRWKPSFCD","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lutjanidae","Pristipomoides","Pristipomoides zonatus"
"NBDL-HK3PGJBTPRA28P","Eukaryota","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","Cephaloscyllium albipinnum"
"NBDL-HK3QY5NFP9N00J","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Meuschenia","Meuschenia australis"
"NBDL-HR5S2B12Q371BA","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Sparidae","Pagrus","Pagrus auratus"
"NBDL-HK3SZKWGPD9F1G","Eukaryota","Chordata","Actinopteri","Carangiformes","Polynemidae","Polydactylus","Polydactylus multiradiatus"
"NBDL-HR5S2B19H37CBY","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Haemulidae","Plectorhinchus","Plectorhinchus unicolor"
"NBDL-HK3R7JQYP1N3W1","Eukaryota","Chordata","Actinopteri","Notacanthiformes","Halosauridae","Halosauropsis","Halosauropsis macrochir"
"NBDL-HK3QFJ1AK4NTS5","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Decapterus","Decapterus muroadsi"
"NBDL-HXDQPBJ0KMGJXF","Eukaryota","Chordata","Actinopteri","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus gigas"
"NBDL-HK3Q46WPPWEPSP","Eukaryota","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Neotrygon","Neotrygon ningalooensis"
"NBDL-HXDQPBXBJNCT48","Eukaryota","Chordata","Actinopteri","Aulopiformes","Paraulopidae","Paraulopus","Paraulopus melanogrammus"
"NBDL-HK3Q0H9CQJQCNB","Eukaryota","Chordata","Elasmobranchii","Rhinopristiformes","Trygonorrhinidae","Aptychotrema","Aptychotrema rostrata"
"NBDL-HXDQPC10G6WT1J","Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae","Woodsia","Woodsia meyerwaardeni"
"NBDL-HK3R5BQ5NXVMS2","Eukaryota","Chordata","Actinopteri","Anguilliformes","Synaphobranchidae","Synaphobranchus","Synaphobranchus affinis"
"NBDL-HR5S2B49H2K2PW","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Haemulidae","Plectorhinchus","Plectorhinchus lessonii"
"NBDL-HR5S2B1JQ368DA","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Notolabrus","Notolabrus gymnogenis"
"NBDL-HR5S2AYAP4GKP9","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Mullidae","Parupeneus","Parupeneus ciliatus"
"NBDL-J1XVBWEDKRDJXQ","Eukaryota","Chordata","Actinopteri","Blenniiformes","Gobiesocidae","Lepadichthys","Lepadichthys frenatus"
"NBDL-HK3RC4E3NA7FMR","Eukaryota","Chordata","Actinopteri","Perciformes","Platycephalidae","Rogadius","Rogadius mcgroutheri"
"NBDL-HK3S9B58J3Q2FB","Eukaryota","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Neobythites","Neobythites longipes"
"NBDL-HR5S2B4XH2G16C","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Gomphosus","Gomphosus varius"
"NBDL-HK3Q0HAKPJBQYA","Eukaryota","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dentiraja","Dentiraja endeavouri"
"NBDL-HK3QHXTGGPXE68","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Nemipteridae","Nemipterus","Nemipterus bathybius"
"NBDL-HK3PNASMGRR586","Eukaryota","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","Etmopterus brosei"
"NBDL-J1XVBWP0NT6EW7","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Sparidae","Acanthopagrus","Acanthopagrus palmaris"
"NBDL-HK3QHXSFHQ4W8S","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lutjanidae","Lutjanus","Lutjanus sebae"
"NBDL-HK3QATBVPPF8GP","Eukaryota","Chordata","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","Chimaera fulva"
"NBDL-HR5SFP7MHKSYMG","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Dascyllus","Dascyllus reticulatus"
"NBDL-HK3RDJRQG36X6T","Eukaryota","Chordata","Actinopteri","Gadiformes","Euclichthyidae","Euclichthys","Euclichthys polynemus"
"NBDL-HZ4562CSHMTW4J","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pseudochromidae","Ogilbyina","Ogilbyina novaehollandiae"
"NBDL-HHG28F1BNBHQBR","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Hintonia","Hintonia candens"
"NBDL-HK4B09HWGE6AXK","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Callionymidae","Callionymus","Callionymus belcheri"
"NBDL-HK4B09HZPE65MZ","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Callionymidae","Callionymus","Callionymus afilum"
"NBDL-HR5S2B2BM321Q3","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Chromis","Chromis weberi"
"NBDL-HK3R7JQFM1JX4X","Eukaryota","Chordata","Actinopteri","Anguilliformes","Eurypharyngidae","Eurypharynx","Eurypharynx pelecanoides"
"NBDL-HK3Q0H9VNJM0BQ","Eukaryota","Chordata","Elasmobranchii","Torpediniformes","Narcinidae","Narcinops","Narcinops lasti"
"NBDL-HHG28F11HBH720","Eukaryota","Chordata","Actinopteri","Perciformes","Triglidae","Pterygotrigla","Pterygotrigla polyommata"
"NBDL-HR5S2B3BM34E33","Eukaryota","Chordata","Actinopteri","Beloniformes","Exocoetidae","Exocoetus","Exocoetus monocirrhus"
"NBDL-HK3S2V8DM8V684","Eukaryota","Chordata","Actinopteri","Perciformes","Synanceiidae","Cottapistus","Cottapistus cottoides"
"NBDL-HXDQPBBYKQ37B3","Eukaryota","Chordata","Actinopteri","Carangiformes","Samaridae","Samaris","Samaris cristatus"
"NBDL-HK3Q0HAEMJBY3P","Eukaryota","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dentiraja","Dentiraja australis"
"NBDL-HK3PNAT7NS4RVF","Eukaryota","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus chloroculus"
"NBDL-HK3QFJ1FN4NY6S","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Decapterus","Decapterus tabl"
"NBDL-HR5S2AVGP4VC6V","Eukaryota","Chordata","Actinopteri","Carangiformes","Paralichthyidae","Pseudorhombus","Pseudorhombus tenuirastrum"
"NBDL-HK3QD0SFPSDEEJ","Eukaryota","Chordata","Elasmobranchii","Myliobatiformes","Urolophidae","Trygonoptera","Trygonoptera imitata"
"NBDL-HK3SXDXQH35B8V","Eukaryota","Chordata","Actinopteri","Zeiformes","Cyttidae","Cyttus","Cyttus novaezealandiae"
"NBDL-HK3SDG8MN3SKM6","Eukaryota","Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophiodes","Lophiodes triradiatus"
"NBDL-HHG28F4TKB91QP","Eukaryota","Chordata","Actinopteri","Carangiformes","Echeneidae","Echeneis","Echeneis naucrates"
"NBDL-HK3S2V5XM9T2JJ","Eukaryota","Chordata","Actinopteri","Perciformes","Neosebastidae","Neosebastes","Neosebastes johnsoni"
"NBDL-HK3SXDWTK34AEZ","Eukaryota","Chordata","Actinopteri","Perciformes","Epinephelidae","Variola","Variola louti"
